Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 2 yrs, environment| relationship building| workflow| written communication| business development executive| interpersonal skills| communication skills,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,8 - 12 yrs, SAP SD| Analyst,Programming & Design,"IT Software - Application Programming , Maintenance","Pharma, Biotech, Clinical Research"
Software Developer, Not Disclosed by Recruiter ,1 - 3 yrs, XML| Javascript| PHP| development| functions| developing| Backend| jQuery| Front end| application| Coding| web| Web application| MySQL| developer| mvc| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,3 - 7 yrs, Pumps| Valves| Backend| Fire protection| Business development management| Management| Product sales,Institutional Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Software Developer, Not Disclosed by Recruiter ,4 - 7 yrs, Microstrategy| Unix| Business Intelligence| Linux| Data Visualization| Business Objects| Data Modeling| ETL| Analytics| DB,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Quality Assurance/Quality Control Manager,"3,00,000 - 6,00,000 PA.",5 - 10 yrs, External Audit| Quality Engineering| ISO Documentation| Customer Quality| QA| Quality Assurance| Quality Systems| Auditing| internal audit| QA Manager,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components"
Software Developer, Not Disclosed by Recruiter ,3 - 6 yrs, com| c#| development| c| software| testing| mca| it| vb| sql| asp net| coding| application| ui| design| asp.net| .net| vb net| pl| net| asp| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,5 - 10 yrs, Back office| Backend| VLOOKUP| Advanced Excel| Consultancy,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms"
Software Developer, Not Disclosed by Recruiter ,1 - 5 yrs, Backend| CSS| OOPS| Javascript| HTML,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP"
Software Developer,"8,00,000 - 18,00,000 PA.",4 - 9 yrs, moss| Share point| Sharepoint Development| Sharepoint,Programming & Design,IT Software - System Programming,"IT-Software, Software Services"
Software Developer,Openings: 1,6 - 11 Years,git|oracle|sed|awk|build|linux|jenkins|hudson|unix|Python,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
System Administrator, Not Disclosed by Recruiter,5 - 10 Years,Maintenance|Disaster Recovery|DevOps Engineer|Bash|Shell|Python|AWS services|Hadoop servers,Admin/Maintenance/Security/Datawarehousing,IT Software - System Programming,IT-Software / Software Services
Software Developer, Not Disclosed by Recruiter ,4 - 6 yrs, CSS| Rest| XML| ASP.Net| .Net| HTML| JSON| MVC| JQuery| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"3,00,000 - 6,50,000 PA.",1 - 5 yrs, cce| inbound| customer service| call center| sales| executive| advisor| fresher| voice process| collections| outbound| telecalling| non voice| email| communication skills| bpo| upselling| ites| client servicing| us process| chat| us shift| uk process| uk shift,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Product/Brand Manager, Not Disclosed by Recruiter ,2 - 3 yrs, Product management| Pharma| Dermatology| Business Executive| top,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Education, Teaching, Training"
Sales/Business Development Manager, Not Disclosed by Recruiter ,2 - 7 yrs, Direct sales| Sales Associate| Personal loans| Sales| Mortgage loans| Compliance| Finance| Corporate| banking products,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking"
Accounts Executive/Accountant,"1,50,000 - 3,50,000 PA.",1 - 3 yrs, accounting functions| auditing| cma| ca| commerce| ipcc,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,5 - 10 yrs,Java| J2Ee| Spring| Web Services| Senior Java Developer| Hibernate,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
"Design, plan, organize and execute the job assigned and area allotted for effective referral sales of hospital services, facilities and modern technology to doctors, consultants and clinics. Develop and stabilize good and meaningful relationship with consultants, doctors, hospitals and clinics. Forward the report weekly to the Manager and get the feedback. Act as a communication channel between doctors and hospital Salary: Not Disclosed by Recruiter Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Permanent Job, Full Time",Openings: 2,2 - 5 Years,Organizing|Execution|Referral Marketing|referral sales," Design, plan, organize and execute the job assigned and area allotted for effective referral sales of hospital services, facilities and modern technology to doctors, consultants and clinics. Develop and stabilize good and meaningful relationship with consultants, doctors, hospitals and clinics. Forward the report weekly to the Manager and get the feedback. Act as a communication channel between doctors and hospital Salary: Not Disclosed by Recruiter Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Permanent Job, Full Time ","Other Employment Type: Permanent Job, Full Time",Medical / Healthcare / Hospitals
Client Servicing/Key Account Manager, Not Disclosed by Recruiter ,4 - 9 yrs, Wealth Management| Sales| Private Banking| Relationship Manager| Banking| BFSI Sales,Corporate Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking"
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, ajax| xml| javascript| server| dreamweaver| soa| technical| software| android| microsoft| ios| jquery| sql| iis| ui| web| design| c#| c| level| testing| mobile| adobe| specification| wpf| windows| triggers| quality| excel| linq| service| developer| illustrator,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,6 - 10 yrs, Abap| Training| Policies| Web UI| Solution Management| Service Request Management| Web Technologies,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Store Keeper/Warehouse Assistant,"2,00,000 - 3,00,000 PA.",1 - 2 yrs, fifo| customer service| shrinkage control,Logistics,Purchase / Logistics / Supply Chain,"Retail, Wholesale"
Search Engine Optimisation /SEO Specialist, Not Disclosed by Recruiter ,1 - 2 yrs, SEO| Analytics| Auditing| Algorithms| Search engine| Guest| Keyword research| HTML| Link building| Off-page optimization,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 2 yrs, Technical Sales process (Only voice based US Process),Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Software Developer,"5,00,000 - 11,00,000 PA.",1 - 5 yrs,Java| JMS| Hibernate| Core Java| JUnit| OFBIZ| Javascript| J2Ee| Spring| JQuery| Web Services,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Merchandiser, Not Disclosed by Recruiter ,5 - 9 yrs, Senior Design Engineer| Retail| Excel| Stock management| Management,Designer,"Fashion Designing , Merchandising","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,5 - 10 yrs, SQL| Oracle financials| WiFi| Staffing| PDF| Oracle BI| Solution design| Cloud| Doe| Oracle SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Lecturer/Professor, INR Negotiable,8 - 13 Years,professor - accounts|associate professor - finance|associate professor - accounting|Ph.D Accounting,University Level,"Teaching , Education , Training , Counselling",Education / Teaching / Training
Software Developer, Not Disclosed by Recruiter ,17 - 18 yrs, c++| C| design| MySQL| JavaScript| HTML,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Recruitment Manager, Not Disclosed by Recruiter ,5 - 7 yrs, team leader| team handling| Vendor Management| Recruiter| sourcing| Recruitment| Stakeholder Management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",IT-Hardware & Networking
Software Developer, Not Disclosed by Recruiter ,2 - 5 yrs, Technical training| Counsellor| SAP| Cold calling| technical| Client relationship| Educational sales,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services"
HR Manager,"6,00,000 - 8,50,000 PA.",7 - 10 yrs, Recruitment| HR| Human Resource Management| Personnel| Administration,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Automobile, Auto Anciliary, Auto Components"
Software Developer,Openings: 1,5 - 10 Years,Sap Hana|SyBase,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
Content Developer, Not Disclosed by Recruiter ,0 - 2 yrs, social media| photoshop| employer br| ing| photo editing| | ms | fice| web content writing| self motivated,Content Development,"Journalism , Editing , Content","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,3 - 6 yrs, Ruby on Rails| jQuery| Javascript| JSON| MVC| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Business Development Manager, Other Incentives ,0 - 5 yrs,B2B| b2c| bd| sales business development| lead generation| business development executive| bdm| market research| Business Development| business development manager| Business Development Management| market research analyst,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways"
Animation/Graphic Artist, Not Disclosed by Recruiter ,1 - 6 yrs,Product quality| 3D| 3D modeling| 3D Animator| Animator| Texturing| Conceptualization| Animation| 3D animation| Business Executive,Production/Technical,"TV , Films , Production , Broadcasting","IT-Software, Software Services"
Product Manager, Not Disclosed by Recruiter ,5 - 8 yrs, Business Intelligence| Software Development| System Architecture| Technical Design| Data Warehousing| ETL| Business System| Product Life Cycle| SQL| Data Mapping,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Branch Manager/Regional Manager, Not Disclosed by Recruiter ,18 - 25 yrs, Training| Hiring| Business Leadership| Stock Exchange,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
General Practitioner, Not Disclosed by Recruiter ,2 - 6 yrs, Doctor,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals"
Accounts Executive/Accountant,"2,75,000 - 3,00,000 PA.",4 - 8 yrs, balance sheet| finance| tally| accounts manager| accountant| tally erp| Accounts Receivable| Accounts Payable,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance"
Software Developer, Not Disclosed by Recruiter ,6 - 11 yrs, Oracle| Linux| MySQL| Windows| Solaris| Aix| Automation| Python| Information security| HP-UX,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, Data Structures| Algorithms| OOPS| Web Technologies| User Experience,Programming & Design,IT Software - Mobile,"IT-Software, Software Services"
Sales Executive/Officer, Not Disclosed by Recruiter ,8 - 10 yrs, ERP| Leasing| Real estate| English| Sales strategy| Estate| Sales Executive| Business Executive| Negotiation skills,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property"
Recruitment Executive, Not Disclosed by Recruiter ,0 - 5 yrs, Interpersonal Skills| Communication,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,4 - 9 yrs, Drupal| jQuery| C| Technical| Wordpress| Javascript| PHP| HTML| Web Development| Zend framework,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Software Developer,"3,00,000 - 7,00,000 PA.",2 - 3 yrs, Core Java| Tomcat| Hibernate| NoSQL| Algorithms| MySQL| Spring Boot| JPA| Microservices| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,3 - 8 yrs, Accounting| Accounts finalisation| Commerce| Taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce"
Software Developer, Not Disclosed by Recruiter ,1 - 4 yrs, HTML| jQuery| MS SQL| MVC| JSON| Front end| Entity framework| MongoDB| Operations,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Network Planning Engineer, Not Disclosed by Recruiter ,2 - 5 yrs, computer| network| performance| maintenance| analyzing| designing| installing| configuring| ,Telecom,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services"
Administration Services/Medical Facilities, Not Disclosed by Recruiter ,1 - 5 yrs, PDF| Email| Customer focus| Design development| Service| Doc| Business Executive| Application| Forecasting| Monitoring,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals"
Associate/Senior Associate -(NonTechnical),"1,50,000 - 2,75,000 PA.",1 - 4 yrs, customer service| Non Voice,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Secretary/PA, Not Disclosed by Recruiter,1 - 2 Years,Office Assistance|office co - ordiantor,Apeejay Education society,"Executive Assistant , Front Office , Data Entry",Education / Teaching / Training
Software Developer,"5,00,000 - 15,00,000 PA.",5 - 9 yrs,CSS| Powershell| Html5| Problem Solving| MS Project| JQuery| Office 365| Sharepoint Development| .NET Framework| Sharepoint| Project Support,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(Technical),"1,25,000 - 2,25,000 PA.",0 - 2 yrs, DNS| Networking Protocols| DHCP| WSUS Server| IP Addressing| VPN| UDP| TCP| Antivirus| Configuring,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Sales Executive/Officer, Not Disclosed by Recruiter ,3 - 6 yrs, Marketing Manager| Pharma| Sensors| RTD| Sales| Lead generation| Automobile,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Technical Architect,"50,000 - 3,00,000 PA.",5 - 10 yrs, Architecture| Windows Server| Subject Matter Expertise| Architectural Design| Active Directory,Programming & Design,IT Software - Other,"IT-Software, Software Services"
Search Engine Optimisation /SEO Lead, Not Disclosed by Recruiter ,2 - 4 yrs, SEO Executive| Web Analyst| Online Marketing Executive| on page optimizaion| xml| Meta Tag Optimization| Hyperlink Optimization| Proper Keywords Density Passion for SEO and int| delhi,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing"
Sales/Business Development Manager, Not Disclosed by Recruiter ,3 - 8 yrs, Lead generation| Writing| IT sales| Account management| MS Office| Presentation| Sales achievement,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking"
Database Architect/Designer, Not Disclosed by Recruiter ,1 - 2 yrs, Designer,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Software Developer, Not Disclosed by Recruiter ,1 - 6 yrs, Java| Maven| Multithreading| Linux OS| JUnit| SVN| Jira| SDLC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Regional Manager, Not Disclosed by Recruiter ,8 - 12 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Retail Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet"
Sales Executive/Officer, Not Disclosed by Recruiter ,4 - 7 yrs, Sales| Development| Marketing,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Events/Promotion Executive, Not Disclosed by Recruiter ,2 - 5 yrs, Excel| Financial markets| corporate events| Public speaking| Digital marketing| Powerpoint| Marketing communication| Marketing Executive| Event Executive| Marketing,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Education, Teaching, Training"
HR Executive, Not Disclosed by Recruiter ,3 - 6 yrs,Labour laws| MS Office| Compliance Executive| Payroll management| hr compliance| Data processing| HR Executive| ISO 9000| Auditing| Excel,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Apparel/Garment Designer, Not Disclosed by Recruiter ,8 - 10 yrs, Corel Draw| Stores| Photoshop| Software design| process| Illustrator| Trend| private label| Indesign| Ideas,Designer,"Fashion Designing , Merchandising","Retail, Wholesale"
Head/VP/GM-Technology(IT)/CTO, Not Disclosed by Recruiter ,13 - 17 yrs, Social media marketing| Mobile marketing| Illustrator| Online marketing| Web development| Consulting| digital strategy| Photoshop| Digital marketing| Usability testing,Senior Management,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing"
Client Servicing/Key Account Manager, Not Disclosed by Recruiter ,10 - 15 yrs, Direct sales| Lead generation| Digital media| Business expansion| Social media| Web development| Corporate| Digital marketing| Information technology| Monitoring,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,3 - 5 yrs, Python| Application development| Agile| Debugging| Machine learning| Log analysis| Automation testing| deep learning| Individual Contributor| Web technologies,Programming & Design,"IT Software - Application Programming , Maintenance","Education, Teaching, Training"
Workman/Foreman/Technician,"7,00,000 - 9,50,000 PA.",5 - 10 yrs, Forklift| Crane Operator| Forklift Operator,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure"
Sales/Business Development Manager, Not Disclosed by Recruiter ,4 - 8 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| Sales Manager| sales executive,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Graphic Designer,"3,00,000 - 5,00,000 PA.",2 - 7 yrs, Design| Project Handling| Artwork| Key Skills| Illustrator| Photoshop| Graphic Designing| Client Interaction| Quality Assurance| Indesign,Creative,"Design , Creative , User Experience",Other
Post Sales Consultant,"1,25,000 - 2,00,000 PA.",4 - 5 yrs, Communication Skills| Sales Administration| Admin Executive,After Sales Service,"Sales , Retail , Business Development","Real Estate, Property"
Electrical Engineer-Commercial,"3,00,000 - 3,50,000 PA.",4 - 5 yrs, Facility Management,Site Engineering,"Site Engineering , Project Management","Real Estate, Property"
Service/Maintenance Engineer,"1,75,000 - 2,50,000 PA.",1 - 2 yrs, Maintenance Engineering| Utility Maintenance| Compressor,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,0 - 1 yrs, Technical Support Associate| Sales Associate| Technical support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Lab Technician/Medical Technician/Lab Staff, Not Disclosed by Recruiter ,3 - 7 yrs, Customer Complaints| Lab Testing,R&D,"Engineering Design , R&D","Semiconductors, Electronics"
Software Developer, Not Disclosed by Recruiter ,3 - 5 yrs, assembly language| website| C| HTML| ajax| javascript| jquery| SQL| xhtml| Six Sigma| PMP| xml| linux| .NET| Oracle| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Retail Store Manager, Not Disclosed by Recruiter ,5 - 9 yrs, Retail| Team management| Retail management| Electronics| Customer handling| Management| Store operations| Auditing,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, Voice process| Outbound| Technical Support Executive| Productivity| US shift| Bonus| Sales Executive| Technical support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Technical Architect, Not Disclosed by Recruiter ,3 - 5 yrs, development| junit| java| apache| jboss| tomcat| product development| mysql| eclipse,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services"
Sales Executive/Officer,"2,00,000 - 2,25,000 PA.",1 - 5 yrs, Gem| Tendering,Retail Sales,"Sales , Retail , Business Development","Heat Ventilation, Air Conditioning"
Sales Executive/Officer,"3,00,000 - 5,50,000 PA.",2 - 7 yrs,building materials| COLLECTION| lifestyle products| key account mgmt| home decor| business development| b2c sales| construction materials| lifestyle| NEW CLIENT ACQUISITION| PROJECT SALES| SALES,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals"
Sales/Business Development Manager, Not Disclosed by Recruiter ,6 - 8 yrs,SOLUTION SELLING| MARKET RESEARCH| PRODUCT SALES| B2B SALES,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
System Administrator, Not Disclosed by Recruiter ,4 - 7 yrs, Unix| Aix| ERP| Change management| Solaris| Social media| Disaster recovery| Problem management| Oracle DBA| SAP Basis,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","Pharma, Biotech, Clinical Research"
Software Developer, Not Disclosed by Recruiter ,4 - 6 yrs,Javascript| Java| Servlets| XML| SQL| HL7| Database Design| Code Review| Life Cycle| Application Design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,1 - 2 yrs, Service tax| Financial statements| Sales tax| Reconciliation| Book Keeping| Cash management| Accounts Executive| Income tax return| Balance Sheet,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Strategy, Management Consulting Firms"
Project Manager-IT/Software, Not Disclosed by Recruiter ,7 - 12 yrs, Analytics,Project Management,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Sales/Business Development Manager,"2,25,000 - 4,25,000 PA.",1 - 6 yrs, team development| sales manager| business management| Agency Manager| sales development manager| life insurance,Retail Sales,"Sales , Retail , Business Development",Insurance
System Administrator, Not Disclosed by Recruiter ,6 - 11 yrs, Service| Unix| Scheduling| Incident management| Analytical| Automation| Business continuity planning| VMware| Solaris| Disaster recovery,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","Strategy, Management Consulting Firms"
Program Manager, Not Disclosed by Recruiter ,5 - 8 yrs, PMP| Project management| Application development| Cloud computing| Project finance| Machine learning| data governance| Scrum| JIRA| Monitoring,Senior Management,"IT Software - Application Programming , Maintenance","Education, Teaching, Training"
Sales/Business Development Manager,"INR 7,00,000 - 12,00,000 PA.",7 - 12 Years,sales analysis|online marketing|marketing campaigns|inventory management|marketing strategy|mis reporting|product pricing|business planning|Ecommerce Development|ecommerce business,Retail Sales,"Sales , Retail , Business Development",FMCG / Foods / Beverage
Software Developer, Not Disclosed by Recruiter ,4 - 9 yrs,Java| Rest| web services| XML| j2ee| Mule Esb| soap,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Data Analyst, Not Disclosed by Recruiter ,0 - 1 yrs, Data Analysis| Data Analyst| reporting| Quality Control,Analytics & BI,Analytics & Business Intelligence,"Recruitment, Staffing"
Maintenance Engineer,"4,75,000 - 5,50,000 PA.",0 - 5 yrs, Installation| troubleshooting| maintenance,Site Engineering,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Technical support| process| Support| Inbound calls| employee referral| US shift| Bonus,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Sales/Business Development Manager, No bar for right candidate ,1 - 6 yrs, sales management| marketing| agency channel| channel sales| Agent Recruitment| channel sales manager| channel manager,Retail Sales,"Sales , Retail , Business Development",Insurance
Project Manager-Production/Manufacturing/Maintenance, Not Disclosed by Recruiter ,3 - 5 yrs, Project Coordinator| MS project Relevant| Auto CAD| computer| applications,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"1,50,000 - 6,50,000 PA.",0 - 5 yrs, chat| international| Email Support| Non Voice| bpo| international call center| bpo fresher| international bpo,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Production Manager, Not Disclosed by Recruiter ,2 - 7 yrs, Production Supervisor| Shop floor management,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing"
Head/VP/GM/National Manager -Sales,"30,00,000 - 45,00,000 PA.",10 - 20 yrs, National Sales| Business Development| Key Account Management| Sales Head| Sales Director,Senior Management,"Sales , Retail , Business Development","Courier, Transportation, Freight , Warehousing"
Medical Representative,"3,50,000 - 5,00,000 PA.",1 - 5 yrs, Business Development| sales| Pharmaceutical Sales,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs,Biztalk| microsoft| PLSQL| c#| server| orchestration| EDI| Electronic Data Interchange| sql| X12| Healthcare| ASP.Net| developer| net| ANSI| asp,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Technical / Process Trainer, Not Disclosed by Recruiter ,3 - 7 yrs, Training| six sigma| technical training| continuous improvement| technician activities| Technical Trainer,Teachers,"Teaching , Education , Training , Counselling","Industrial Products, Heavy Machinery"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,5 - 9 yrs,react.js| node.js| backend| web technologies| front end| technical design| css3| jquery| angularjs| bootstrap,Programming & Design,"IT Software - Application Programming , Maintenance","Accounting, Finance"
Sales/Business Development Manager,"4,00,000 - 4,75,000 PA.",4 - 6 yrs, Conferences| Events| hotel sales| MICE| Sales Management| Sales Ability| Corporate Sales,Corporate Sales,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways"
Sales Executive/Officer, Not Disclosed by Recruiter ,2 - 3 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Fresher,"2,25,000 - 5,00,000 PA.",0 - 5 yrs, Data Entry Operation| Computer Operating| Data Management| data analysis| Data Entry| computer operator| back office| non voice| backend| kpo,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Fresher, Not Disclosed by Recruiter ,0 - 5 yrs, content writing| content editor| Scientific Writing| Journalism| mass communication| public relation,Other,"Journalism , Editing , Content","Advertising, PR, MR, Event Management"
Company Secretary,"3,00,000 - 6,00,000 PA.",2 - 7 yrs, Company Secretary| Compliance| Secretarial Activities,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit",Food Processing
Sales/Business Development Manager, Not Disclosed by Recruiter ,5 - 7 yrs, project planning| project management,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,1 - 6 yrs, linux| perl| verification| btech| verilog| asic| firmware| embedded software| msc| vlsi,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,4 - 6 yrs, Product quality| Automation| development| IVR| technical| software| Verint| developing| Software quality assurance| quality| System integration| design| CTI| Selenium| Continuous improvement| Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,2 - 3 yrs, Accounting| Accounts Payable| Invoice Processing| Auditing| Expenses| Payments| Invoicing| Monthly Reports| Closing,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 4 yrs, c++| qt| mysql,Programming & Design,"IT Software - Application Programming , Maintenance",Other
Recruitment Executive,"1,00,000 - 2,00,000 PA.",0 - 2 yrs, recruitment| screening| sourcing| hr consulting| linkedin| communication skills,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Automobile, Auto Anciliary, Auto Components"
Regional Sales Manager,"10,00,000 - 12,00,000 PA.",9 - 14 yrs, sales management| sales strategy| customer relationship| communication skills| customer service| Sales Coordination,Channel Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables"
Sales/Business Development Manager, Not Disclosed by Recruiter ,2 - 4 yrs, TECHNICAL SALES| OIL AND GAS| AUTOMOBILE| TEXTILE| PHARMA| FLOW MEASURING INSTRUMENTS,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing"
